time: 0.447426 	 V: 5.1599 	 T: 27.67
time: 0.448502 	 V: 5.9341 	 T: 27.67
time: 0.449501 	 V: 5.9341 	 T: 27.67
time: 0.450508 	 V: 5.9341 	 T: 27.67
time: 0.451524 	 V: 5.9341 	 T: 27.67
time: 0.452531 	 V: 5.1599 	 T: 27.67
time: 0.453539 	 V: 6.6184 	 T: 27.67
time: 0.454543 	 V: 5.1599 	 T: 27.67
time: 0.455544 	 V: 5.9341 	 T: 27.67
time: 0.456550 	 V: 5.9341 	 T: 27.67
time: 0.457556 	 V: 5.9341 	 T: 27.67
time: 0.458568 	 V: 5.1599 	 T: 27.67
time: 0.459565 	 V: 5.1599 	 T: 27.67
time: 0.460567 	 V: 5.9341 	 T: 27.67
time: 0.461585 	 V: 5.1599 	 T: 27.67
time: 0.462662 	 V: 5.9341 	 T: 27.67
time: 0.463665 	 V: 5.9341 	 T: 27.67
time: 0.464667 	 V: 5.9341 	 T: 27.67
time: 0.465671 	 V: 5.9341 	 T: 27.67
time: 0.466675 	 V: 5.9341 	 T: 27.67
time: 0.467676 	 V: 5.1599 	 T: 27.67
time: 0.468680 	 V: 5.9341 	 T: 27.67
time: 0.469681 	 V: 5.9341 	 T: 27.67
time: 0.470685 	 V: 5.9341 	 T: 27.67
time: 0.471702 	 V: 5.9341 	 T: 27.67
time: 0.472709 	 V: 5.9341 	 T: 27.67
time: 0.473713 	 V: 5.1599 	 T: 27.67
time: 0.474720 	 V: 5.1599 	 T: 27.67
time: 0.475722 	 V: 5.1599 	 T: 27.67
time: 0.476792 	 V: 5.1599 	 T: 27.67
time: 0.477793 	 V: 6.6184 	 T: 27.67
time: 0.478806 	 V: 5.9341 	 T: 27.67
time: 0.479805 	 V: 5.9341 	 T: 27.67
time: 0.480817 	 V: 5.9341 	 T: 27.67
time: 0.481836 	 V: 5.9341 	 T: 27.67
time: 0.482844 	 V: 5.9341 	 T: 27.67
time: 0.483850 	 V: 5.9341 	 T: 27.67
time: 0.484857 	 V: 5.9341 	 T: 27.67
time: 0.485860 	 V: 5.9341 	 T: 27.67
time: 0.486867 	 V: 5.9341 	 T: 27.67
time: 0.487875 	 V: 5.9341 	 T: 27.67
time: 0.488879 	 V: 5.1599 	 T: 27.67
time: 0.489883 	 V: 5.9341 	 T: 27.67
time: 0.490958 	 V: 6.6184 	 T: 27.67
time: 0.491977 	 V: 5.9341 	 T: 27.67
